user_db_id,would_publish,venue_db_id,field
147609,True,1658795,Business
147609,True,1659092,Business
147609,True,1669856,Business
147609,True,1649056,Business
147609,True,1650876,Business
147609,True,1656916,Business
147609,True,1656959,Business
147609,False,1658534,Business
147609,True,1661981,Business
147609,False,1652768,Business
147609,False,1648193,Business
147609,False,1650681,Business
147609,False,1648203,Business
147609,True,1658824,Business
147609,True,1663917,Business
147609,True,1666842,Business
147609,True,1668294,Business
147609,True,1670017,Business
147609,False,1671616,Business
147609,False,1676817,Business
147609,False,1650343,Business
147609,False,1655568,Business
147609,True,1648613,Business
147627,True,1647094,Biology
147627,True,1647722,Biology
147627,True,1647827,Biology
147627,False,1647096,Biology
147627,False,1647105,Biology
147627,True,1647108,Biology
147627,False,1647243,Biology
147627,True,1647092,Biology
147627,False,1647607,Biology
147627,False,1647101,Biology
147627,True,1647774,Biology
147627,False,1647542,Biology
147627,False,1647807,Biology
147627,True,1647649,Biology
147627,False,1647638,Biology
147627,True,1647235,Biology
147627,False,1647373,Biology
147627,False,1647456,Biology
147627,False,1649773,Biology
147627,False,1647164,Biology
147627,False,1647851,Biology
147627,True,1650126,Biology
147627,False,1648536,Biology
148519,True,1659694,Computer science
148519,True,1651402,Computer science
148519,True,1647841,Computer science
148519,True,1647092,Computer science
148519,True,1647094,Computer science
148519,False,1647102,Computer science
148519,False,1647119,Computer science
148519,False,1647129,Computer science
148519,True,1648309,Computer science
148519,True,1651464,Computer science
148519,True,1651012,Computer science
148519,True,1651358,Computer science
148519,False,1659186,Computer science
148519,False,1647108,Computer science
148519,False,1648047,Computer science
148519,False,1649447,Computer science
148519,True,1658215,Computer science
148519,False,1648191,Computer science
148519,True,1675347,Computer science
148519,False,1653725,Computer science
148519,False,1647607,Computer science
148519,False,1651794,Computer science
148519,False,1649713,Computer science
147901,True,1647100,Chemistry
147901,True,1647122,Chemistry
147901,True,1650189,Chemistry
147901,False,1647113,Chemistry
147901,True,1647127,Chemistry
147901,True,1647152,Chemistry
147901,False,1647164,Chemistry
147901,False,1647172,Chemistry
147901,True,1647094,Chemistry
147901,True,1647092,Chemistry
147901,True,1647108,Chemistry
147901,True,1647101,Chemistry
147901,False,1647607,Chemistry
147901,False,1647373,Chemistry
147901,False,1647355,Chemistry
147901,False,1647118,Chemistry
147901,False,1647235,Chemistry
147901,False,1647807,Chemistry
147901,False,1647176,Chemistry
147901,True,1650004,Chemistry
147901,False,1649970,Chemistry
147901,False,1647135,Chemistry
147901,False,1647139,Chemistry
147901,True,1660669,Chemistry
147901,True,1647310,Chemistry
147901,True,1649258,Chemistry
147901,True,1648510,Chemistry
148144,True,1647092,Biology
148144,True,1648536,Biology
148144,True,1647320,Biology
148144,True,1647096,Biology
148144,True,1647105,Biology
148144,False,1647110,Biology
148144,True,1647227,Biology
148144,True,1647733,Biology
148144,True,1647108,Biology
148144,True,1647094,Biology
148144,False,1647101,Biology
148144,False,1647607,Biology
148144,False,1647180,Biology
148144,False,1648080,Biology
148144,False,1648494,Biology
148144,True,1650477,Biology
148144,True,1647665,Biology
148144,False,1647568,Biology
148144,False,1648189,Biology
148144,False,1647542,Biology
148144,False,1647235,Biology
148144,False,1647118,Biology
148144,False,1647807,Biology
148144,True,1648398,Biology
148144,True,1658086,Biology
148144,True,1650025,Biology
148413,True,1669812,Sociology
148413,True,1652980,Sociology
148413,True,1663910,Sociology
148413,True,1647467,Sociology
148413,True,1647608,Sociology
148413,False,1647819,Sociology
148413,True,1648667,Sociology
148413,True,1648826,Sociology
148413,False,1648310,Sociology
148413,True,1662957,Sociology
148413,True,1649664,Sociology
148413,True,1647094,Sociology
148413,True,1647092,Sociology
148413,False,1647108,Sociology
148413,False,1649005,Sociology
148413,False,1649768,Sociology
148413,True,1650069,Sociology
148413,False,1650584,Sociology
148413,False,1648774,Sociology
148413,True,1664982,Sociology
148413,False,1647169,Sociology
148413,False,1648401,Sociology
